1. Kahitna_MerendaKasih,9
2. Vidi_StatusPalsu,23
3. YovieNuno_BungaJiwaku,26
4. Kahitna_AkuDirimuDirinya,34
5. Marcell_Semusim,34
6. Kerispatih_Mengenangmu,42
7. Chrisye_KalaCintaMenggoda,43
8. Rossa_TerlanjurCinta,43
9. Letto_SandariHati,44
10. Tasya_PamanDatang,44
1. Kahitna_MerendaKasih,9
2. Vidi_StatusPalsu,23
3. YovieNuno_BungaJiwaku,26
4. Kahitna_AkuDirimuDirinya,34
5. Marcell_Semusim,34
6. Kerispatih_Mengenangmu,42
7. Chrisye_KalaCintaMenggoda,43
8. Rossa_TerlanjurCinta,43
9. Letto_SandariHati,44
10. Tasya_PamanDatang,44
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
9. SO7_Sephia,195
10. KoesPlus_BisSekolah,209
1. Dewa19_SeparuhNafas,85
2. KatonBagaskara_Dinda,116
3. Chrisye_KisahCintaku,145
4. Krisdayanti_CobalahUntukSetia,152
5. Padi_MenantiSebuahJawaban,163
6. Ten2Five_IWillFly,167
7. Ran_PandanganPertama,171
8. Dewa19_RisalahHati,187
